Current Body Type,Target Body Type,Workout Plan,Diet Plan,Estimated Duration (Days)
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",77
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",87
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (35P/35C/30F)",46
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"High Calorie, High Fat Diet",149
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",163
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",87
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",152
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,38
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","High Protein, High Calorie Surplus",140
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,55
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",65
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,44
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",178
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,48
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",130
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Weight Gain Diet, Balanced Macros",74
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",110
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"High Carb, Moderate Protein, Calorie Deficit",105
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",101
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",63
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",82
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Low Protein Diet, Increased Cardio Fuel",71
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",64
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","High Calorie, High Fat Diet",113
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","High Calorie, High Fat Diet",99
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Calorie Deficit (~500kcal), High Carb Fuel",86
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (30P/40C/30F)",65
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",60
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",148
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,37
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",48
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","Muscle Gain Diet: High Protein (35%), High Carb (45%)",170
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",122
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",137
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",130
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,66
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (25P/45C/30F)",30
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Balanced Macronutrient Diet,66
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",65
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",77
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,Calorie Surplus (~500kcal) + High Protein Shakes,179
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,54
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"High Carb, Moderate Protein, Calorie Deficit",120
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",170
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","High Protein, High Calorie Surplus",199
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein (35%), Low Carb (25%), Fiber Focus",179
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Weight Gain Diet, Balanced Macros",89
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",165
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",79
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",169
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",78
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",148
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",157
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,37
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",99
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Calorie Surplus (~500kcal), High Fat (35%)",77
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein (35%), Low Carb (25%), Fiber Focus",166
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,160
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (30P/40C/30F)",49
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"High Protein, High Calorie Surplus",178
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,65
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,Calorie Surplus (~500kcal) + High Protein Shakes,121
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein, Low Carb",178
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,82
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",63
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",175
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",95
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,42
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,49
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,87
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",120
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,140
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (35P/35C/30F)",53
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,56
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","High Calorie, High Fat Diet",112
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,87
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","High Carb, Low Protein, Calorie Deficit",75
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",105
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",46
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",79
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",159
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","Muscle Gain Diet: High Protein (35%), High Carb (45%)",190
Ectomorph,Mesomorph,"Muscle Gain Focus: Heavy Weights, Minimal Cardio","Muscle Gain Diet: High Protein (35%), High Carb (45%)",198
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",72
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,51
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",110
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",174
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,56
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,79
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",67
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,53
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",82
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,54
Mesomorph,Endomorph,Low Frequency Training 3x/week,"High Calorie Balanced Diet, Calorie Surplus",94
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,73
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",69
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",72
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,32
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,"Maintenance Calories, Balanced Profile (25P/45C/30F)",89
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein (35%), Low Carb (25%), Fiber Focus",121
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",120
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",82
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,78
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"High Protein, High Calorie Surplus",136
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",56
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",62
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",96
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",108
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",136
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Carb-Focused Energy Diet, Protein 25%",64
Ectomorph,Endomorph,"Minimal Activity, Light Strength","High Calorie, High Fat Diet",124
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",106
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,62
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",80
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Weight Gain Diet, Balanced Macros",73
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x","Maintenance Calories, Balanced Profile (35P/35C/30F)",32
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Carb-Focused Energy Diet, Protein 25%",114
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Large Surplus Diet (~700kcal), Fat Emphasis",116
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,Calorie Surplus (~500kcal) + High Protein Shakes,124
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",62
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","High Calorie Balanced Diet, Calorie Surplus",77
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,46
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Low Protein Diet, Increased Cardio Fuel",71
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",182
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",151
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",31
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",87
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,79
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",70
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,69
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Balanced Macronutrient Diet,90
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",42
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Calorie Surplus (~500kcal), High Fat (35%)",83
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"High Carb, Moderate Protein, Calorie Deficit",118
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Large Surplus Diet (~700kcal), Fat Emphasis",92
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"High Carb, Moderate Protein, Calorie Deficit",97
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",50
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",114
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,61
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,57
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Low Protein Diet, Increased Cardio Fuel",99
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","Calorie Surplus (~500kcal), High Fat (35%)",116
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Calorie Deficit, Carb Emphasis (55%)",70
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein (35%), Low Carb (25%), Fiber Focus",130
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",89
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,84
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,171
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","High Carb, Low Protein, Calorie Deficit",80
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",165
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,Calorie Surplus (~500kcal) + High Protein Shakes,138
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,90
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (25P/45C/30F)",59
Mesomorph,Endomorph,"Weight Gain Focus: Light Lifting, No Cardio","High Calorie Balanced Diet, Calorie Surplus",118
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,58
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Balanced Macronutrient Diet,44
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,50
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Calorie Deficit, Carb Emphasis (55%)",84
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","High Carb, Low Protein, Calorie Deficit",84
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Healthy Balanced Diet,75
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","High Protein, Low Carb",139
Mesomorph,Ectomorph,Cardio Focus 5x/week,"Low Protein Diet, Increased Cardio Fuel",64
Ectomorph,Endomorph,"Minimal Activity, Light Strength","High Calorie, High Fat Diet",148
Ectomorph,Ectomorph,Light Full Body Workout 3x/week + Flexibility,Healthy Balanced Diet,44
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,Healthy Balanced Diet,41
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",124
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,65
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",92
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"High Protein, High Calorie Surplus",129
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",108
Endomorph,Mesomorph,Full Body Strength 4x/week + Flexibility,"High Protein, Low Carb",166
Ectomorph,Endomorph,"Minimal Activity, Light Strength","High Calorie, High Fat Diet",115
Endomorph,Ectomorph,High Intensity Cardio Focus 4x/week,"High Carb, Moderate Protein, Calorie Deficit",68
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein (35%), Low Carb (25%), Fiber Focus",169
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","Carb-Focused Energy Diet, Protein 25%",63
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",140
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,44
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Weight Gain Diet, Balanced Macros",115
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,41
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Balanced Macronutrient Diet,72
Ectomorph,Endomorph,"Minimal Activity, Light Strength","Large Surplus Diet (~700kcal), Fat Emphasis",129
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",78
Mesomorph,Mesomorph,Balanced Strength & Cardio 3x/2x week,Performance Maintenance Diet,59
Ectomorph,Ectomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (25P/45C/30F)",73
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",148
Endomorph,Mesomorph,"Strength Training 4x/week, Cardio 1x/week","Lean Protein Focus, Reduced Carbs",120
Endomorph,Endomorph,Full Body Workout 3x/week + Active Recovery,"Maintenance Calories, Balanced Profile (30P/40C/30F)",47
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,63
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","High Carb, Low Protein, Calorie Deficit",86
Ectomorph,Endomorph,"Light Resistance 3x/week, No Cardio","Weight Gain Focus: High Fat (45%), Large Calorie Surplus",103
Mesomorph,Endomorph,"Minimal Cardio, Light Resistance 2x/week","Calorie Surplus (~500kcal), High Fat (35%)",63
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,39
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,78
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Calorie Deficit, Carb Emphasis (55%)",73
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,41
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",157
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Low Protein Diet, Increased Cardio Fuel",64
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (30P/40C/30F)",49
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",131
Ectomorph,Ectomorph,Balanced Strength & Cardio 3x/2x week,"Maintenance Calories, Balanced Profile (25P/45C/30F)",47
Mesomorph,Endomorph,Low Frequency Training 3x/week,"Weight Gain Diet, Balanced Macros",91
Endomorph,Ectomorph,Endurance & HIIT 4x/week,"Calorie Deficit (~500kcal), High Carb Fuel",101
Ectomorph,Endomorph,Weight Gain Workout: Light Lifting 2x/week,"Weight Gain Focus: High Fat (45%), Large Calorie Surplus",133
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",89
Endomorph,Ectomorph,"HIIT 3x/week, Long Cardio 1x/week","High Carb, Moderate Protein, Calorie Deficit",84
Mesomorph,Ectomorph,Cardio Focus 5x/week,"High Carb, Low Protein, Calorie Deficit",98
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","Low Protein Diet, Increased Cardio Fuel",67
Mesomorph,Mesomorph,"Athletic Maintenance: Strength 4x, Cardio 1x",Performance Maintenance Diet,52
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Healthy Balanced Diet,90
Ectomorph,Mesomorph,Heavy Strength Training 5x/week,"Muscle Gain Diet: High Protein (35%), High Carb (45%)",132
Endomorph,Endomorph,"Maintenance Routine: Strength 3x, Cardio 2x","Maintenance Calories, Balanced Profile (30P/40C/30F)",38
Endomorph,Endomorph,Balanced Strength & Cardio 3x/2x week,Balanced Macronutrient Diet,63
Mesomorph,Ectomorph,"Endurance Training 4x/week, Light Resistance 1x/week","Calorie Deficit, Carb Emphasis (55%)",88
Mesomorph,Ectomorph,"High Volume Cardio, Low Weight Reps","High Carb, Low Protein, Calorie Deficit",80
Mesomorph,Mesomorph,"Maintenance Routine: Strength 3x, Cardio 2x",Performance Maintenance Diet,73
Ectomorph,Mesomorph,Progressive Overload Lifting 4x/week,"High Protein, High Calorie Surplus",165
Endomorph,Mesomorph,Strength & Weight Lifting 5x/week,"High Protein, Low Carb",139
